,Age,Gender,Education Level,Job Title,Years of Experience,Salary,Age_cat,Years_Exper,Sal_Cat
318,30.0,Female,Bachelor's Degree,Junior HR Coordinator,2.0,40000.0,Twenties,0-5,Low
319,37.0,Male,Bachelor's Degree,Senior Business Development Manager,10.0,120000.0,Thirties,6-10,High
320,45.0,Female,Master's Degree,Senior Marketing Manager,16.0,160000.0,Forties,16-20,Very High
321,32.0,Male,Bachelor's Degree,Junior Financial Advisor,4.0,65000.0,Thirties,0-5,Medium
322,39.0,Female,Bachelor's Degree,Senior Project Manager,12.0,130000.0,Thirties,11-15,High
323,47.0,Male,PhD,Director of Engineering,20.0,180000.0,Forties,16-20,Very High
324,29.0,Female,Bachelor's Degree,Junior Marketing Analyst,2.0,40000.0,Twenties,0-5,Low
325,36.0,Male,Bachelor's Degree,Senior Operations Manager,9.0,100000.0,Thirties,6-10,Medium
326,43.0,Female,PhD,Senior Data Scientist,15.0,150000.0,Forties,11-15,High
327,32.0,Male,Bachelor's Degree,Junior Marketing Coordinator,3.0,55000.0,Thirties,0-5,Medium
329,48.0,Male,Master's Degree,Director of Marketing,21.0,180000.0,Forties,21-25,Very High
330,31.0,Female,Bachelor's Degree,Junior Business Development Associate,3.0,50000.0,Thirties,0-5,Low
331,40.0,Male,Bachelor's Degree,Senior Financial Analyst,12.0,130000.0,Thirties,11-15,High
332,45.0,Female,PhD,Senior UX Designer,16.0,160000.0,Forties,16-20,Very High
333,33.0,Male,Bachelor's Degree,Junior Product Manager,4.0,60000.0,Thirties,0-5,Medium
334,36.0,Female,Bachelor's Degree,Senior Marketing Manager,8.0,95000.0,Thirties,6-10,Medium
335,47.0,Male,Master's Degree,Director of Operations,19.0,170000.0,Forties,16-20,Very High
336,29.0,Female,Bachelor's Degree,Junior Project Manager,2.0,40000.0,Twenties,0-5,Low
337,34.0,Male,Bachelor's Degree,Senior Operations Coordinator,7.0,90000.0,Thirties,6-10,Medium
338,44.0,Female,PhD,Senior Business Analyst,15.0,150000.0,Forties,11-15,High
339,33.0,Male,Bachelor's Degree,Junior Marketing Specialist,5.0,70000.0,Thirties,0-5,Medium
340,35.0,Female,Bachelor's Degree,Senior Financial Manager,8.0,90000.0,Thirties,6-10,Medium
341,43.0,Male,Master's Degree,Director of Marketing,18.0,170000.0,Forties,16-20,Very High
342,31.0,Female,Bachelor's Degree,Junior Financial Analyst,3.0,50000.0,Thirties,0-5,Low
343,41.0,Male,Bachelor's Degree,Senior Product Manager,14.0,150000.0,Forties,11-15,High
344,44.0,Female,PhD,Senior Data Engineer,16.0,160000.0,Forties,16-20,Very High
347,45.0,Male,Master's Degree,Director of Engineering,19.0,180000.0,Forties,16-20,Very High
348,28.0,Female,Bachelor's Degree,Junior Operations Manager,1.0,35000.0,Twenties,0-5,Low
349,36.0,Male,Bachelor's Degree,Senior Business Development Manager,8.0,110000.0,Thirties,6-10,High
350,44.0,Female,PhD,Senior Data Scientist,16.0,160000.0,Forties,16-20,Very High
351,31.0,Male,Bachelor's Degree,Junior Marketing Coordinator,3.0,55000.0,Thirties,0-5,Medium
371,43.0,Male,Master's Degree,Director of Operations,19.0,170000.0,Forties,16-20,Very High
375,31.0,Male,Master's Degree,Data Scientist,6.0,160000.0,Thirties,6-10,Very High
376,28.0,Female,Bachelor's Degree,Software Engineer,3.0,125000.0,Twenties,0-5,High
377,26.0,Male,Master's Degree,Product Manager,2.0,120000.0,Twenties,0-5,High
378,27.0,Female,Bachelor's Degree,Data Analyst,2.0,110000.0,Twenties,0-5,High
379,30.0,Male,PhD,Data Scientist,5.0,180000.0,Twenties,0-5,Very High
380,29.0,Female,Bachelor's Degree,Software Engineer,4.0,140000.0,Twenties,0-5,High
381,32.0,Male,Bachelor's Degree,Product Manager,7.0,170000.0,Thirties,6-10,Very High
382,25.0,Female,Master's Degree,Data Analyst,1.0,100000.0,Twenties,0-5,Medium
383,33.0,Male,PhD,Data Scientist,8.0,190000.0,Thirties,6-10,Very High
384,31.0,Female,Bachelor's Degree,Software Engineer,6.0,155000.0,Thirties,6-10,Very High
385,28.0,Male,Master's Degree,Product Manager,3.0,130000.0,Twenties,0-5,High
386,30.0,Female,Bachelor's Degree,Data Analyst,5.0,145000.0,Twenties,0-5,High
387,27.0,Male,PhD,Data Scientist,2.0,115000.0,Twenties,0-5,High
389,34.0,Male,Bachelor's Degree,Product Manager,9.0,185000.0,Thirties,6-10,Very High
395,28.0,Male,Bachelor's Degree,Software Engineer,3.0,125000.0,Twenties,0-5,High
396,26.0,Female,Master's Degree,Product Manager,2.0,120000.0,Twenties,0-5,High
397,27.0,Male,Bachelor's Degree,Data Analyst,2.0,110000.0,Twenties,0-5,High
398,30.0,Female,PhD,Data Scientist,5.0,180000.0,Twenties,0-5,Very High
399,29.0,Male,Bachelor's Degree,Software Engineer,4.0,140000.0,Twenties,0-5,High
506,26.0,Male,Bachelor's Degree,Data Analyst,3.0,130000.0,Twenties,0-5,High
507,29.0,Female,Master's Degree,Data Scientist,6.0,180000.0,Twenties,6-10,Very High
508,32.0,Male,Bachelor's Degree,Software Engineer,8.0,190000.0,Thirties,6-10,Very High
509,27.0,Female,Bachelor's Degree,Product Manager,4.0,150000.0,Twenties,0-5,High
510,24.0,Male,Bachelor's Degree,Data Analyst,1.0,90000.0,Twenties,0-5,Medium
511,31.0,Female,Master's Degree,Data Scientist,9.0,195000.0,Thirties,6-10,Very High
512,28.0,Male,Bachelor's Degree,Software Engineer,5.0,160000.0,Twenties,0-5,Very High
513,33.0,Female,Master's Degree,Product Manager,11.0,198000.0,Thirties,11-15,Very High
514,25.0,Male,Bachelor's Degree,Data Analyst,2.0,110000.0,Twenties,0-5,High
515,30.0,Female,PhD,Data Scientist,7.0,185000.0,Twenties,6-10,Very High
516,27.0,Male,Bachelor's Degree,Software Engineer,4.0,140000.0,Twenties,0-5,High
517,34.0,Female,Master's Degree,Product Manager,12.0,196000.0,Thirties,11-15,Very High
518,23.0,Male,Bachelor's Degree,Data Analyst,1.0,95000.0,Twenties,0-5,Medium
519,32.0,Female,PhD,Data Scientist,10.0,193000.0,Thirties,6-10,Very High
520,29.0,Male,Bachelor's Degree,Software Engineer,6.0,175000.0,Twenties,6-10,Very High
521,30.0,Female,Bachelor's Degree,Product Manager,5.0,160000.0,Twenties,0-5,Very High
523,31.0,Female,Master's Degree,Data Scientist,6.0,180000.0,Thirties,6-10,Very High
534,31.0,Male,Bachelor's Degree,Data Analyst,9.0,195000.0,Thirties,6-10,Very High
535,28.0,Female,Bachelor's Degree,Software Engineer,5.0,160000.0,Twenties,0-5,Very High
536,33.0,Male,Master's Degree,Product Manager,11.0,198000.0,Thirties,11-15,Very High
537,26.0,Female,Bachelor's Degree,Data Analyst,3.0,130000.0,Twenties,0-5,High
538,30.0,Male,PhD,Data Scientist,7.0,185000.0,Twenties,6-10,Very High
539,27.0,Female,Bachelor's Degree,Software Engineer,4.0,140000.0,Twenties,0-5,High
540,34.0,Male,Master's Degree,Product Manager,12.0,196000.0,Thirties,11-15,Very High
541,25.0,Female,Bachelor's Degree,Data Analyst,2.0,110000.0,Twenties,0-5,High
544,30.0,Male,Bachelor's Degree,Data Analyst,5.0,160000.0,Twenties,0-5,Very High
547,31.0,Female,PhD,Data Scientist,9.0,195000.0,Thirties,6-10,Very High
596,25.0,Male,Bachelor's Degree,Data Analyst,2.0,125000.0,Twenties,0-5,High
597,28.0,Female,Master's Degree,Data Scientist,6.0,175000.0,Twenties,6-10,Very High
598,30.0,Male,Bachelor's Degree,Software Engineer,8.0,190000.0,Twenties,6-10,Very High
600,24.0,Male,Bachelor's Degree,Data Analyst,1.0,95000.0,Twenties,0-5,Medium
601,31.0,Male,Master's Degree,Data Scientist,9.0,195000.0,Thirties,6-10,Very High
608,23.0,Male,Bachelor's Degree,Data Analyst,1.0,90000.0,Twenties,0-5,Medium
610,29.0,Male,Bachelor's Degree,Software Engineer,6.0,170000.0,Twenties,6-10,Very High
612,26.0,Male,Bachelor's Degree,Data Analyst,3.0,135000.0,Twenties,0-5,High
620,25.0,Male,Bachelor's Degree,Data Analyst,2.0,115000.0,Twenties,0-5,High
677,27.0,Female,Master's Degree,Data Scientist,4.0,150000.0,Twenties,0-5,High
679,24.0,Female,Bachelor's Degree,Product Manager,3.0,125000.0,Twenties,0-5,High
681,31.0,Male,Master's Degree,Data Scientist,7.0,180000.0,Thirties,6-10,Very High
683,33.0,Female,Master's Degree,Product Manager,10.0,195000.0,Thirties,6-10,Very High
685,30.0,Female,PhD,Data Scientist,6.0,170000.0,Twenties,6-10,Very High
687,34.0,Female,Master's Degree,Product Manager,11.0,196000.0,Thirties,11-15,Very High
688,23.0,Male,Bachelor's Degree,Data Analyst,1.0,92000.0,Twenties,0-5,Medium
689,32.0,Female,PhD,Data Scientist,9.0,195000.0,Thirties,6-10,Very High
694,28.0,Male,Bachelor's Degree,Software Engineer,5.0,165000.0,Twenties,0-5,Very High
810,25.0,Male,Bachelor's Degree,Data Analyst,3.0,135000.0,Twenties,0-5,High
815,33.0,Female,Master's Degree,Product Manager,11.0,196000.0,Thirties,11-15,Very High
835,24.0,Male,Bachelor's Degree,Data Analyst,1.0,92000.0,Twenties,0-5,Medium
944,32.0,Male,Bachelor's Degree,Data Analyst,5.0,135000.0,Thirties,0-5,High
945,27.0,Female,Master's Degree,Data Scientist,3.0,180000.0,Twenties,0-5,Very High
946,40.0,Male,Bachelor's Degree,Software Engineer,12.0,195000.0,Thirties,11-15,Very High
947,35.0,Female,Bachelor's Degree,Product Manager,8.0,165000.0,Thirties,6-10,Very High
948,43.0,Male,Master's Degree,Data Scientist,15.0,198000.0,Forties,11-15,Very High
949,29.0,Female,Bachelor's Degree,Software Engineer,4.0,150000.0,Twenties,0-5,High
950,36.0,Male,Bachelor's Degree,Data Analyst,9.0,162000.0,Thirties,6-10,Very High
951,31.0,Male,Master's Degree,Data Scientist,6.0,175000.0,Thirties,6-10,Very High
952,42.0,Female,Bachelor's Degree,Software Engineer,13.0,197000.0,Forties,11-15,Very High
953,33.0,Male,Bachelor's Degree,Data Analyst,7.0,142000.0,Thirties,6-10,High
954,29.0,Female,Master's Degree,Data Scientist,4.0,182000.0,Twenties,0-5,Very High
955,41.0,Male,Bachelor's Degree,Software Engineer,11.0,185000.0,Forties,11-15,Very High
956,35.0,Female,Bachelor's Degree,Product Manager,8.0,170000.0,Thirties,6-10,Very High
957,27.0,Male,Bachelor's Degree,Software Engineer,4.0,160000.0,Twenties,0-5,Very High
958,32.0,Male,Bachelor's Degree,Data Scientist,8.0,180000.0,Thirties,6-10,Very High
959,29.0,Female,Master's Degree,Data Analyst,6.0,150000.0,Twenties,6-10,High
960,30.0,Male,Bachelor's Degree,Data Analyst,5.0,140000.0,Twenties,0-5,High
961,24.0,Male,Bachelor's Degree,Data Analyst,2.0,100000.0,Twenties,0-5,Medium
962,33.0,Female,Master's Degree,Product Manager,11.0,190000.0,Thirties,11-15,Very High
964,26.0,Male,Bachelor's Degree,Data Analyst,3.0,120000.0,Twenties,0-5,High
965,30.0,Female,PhD,Data Scientist,7.0,170000.0,Twenties,6-10,Very High
966,31.0,Male,Bachelor's Degree,Data Analyst,9.0,190000.0,Thirties,6-10,Very High
967,28.0,Female,Bachelor's Degree,Software Engineer,5.0,150000.0,Twenties,0-5,High
968,26.0,Female,Bachelor's Degree,Data Analyst,3.0,120000.0,Twenties,0-5,High
969,30.0,Male,PhD,Data Scientist,7.0,170000.0,Twenties,6-10,Very High
970,27.0,Female,Bachelor's Degree,Product Manager,4.0,130000.0,Twenties,0-5,High
971,24.0,Male,Bachelor's Degree,Data Analyst,2.0,95000.0,Twenties,0-5,Medium
972,33.0,Male,Master's Degree,Product Manager,11.0,195000.0,Thirties,11-15,Very High
973,25.0,Male,Bachelor's Degree,Data Analyst,2.0,100000.0,Twenties,0-5,Medium
974,28.0,Male,Bachelor's Degree,Software Engineer,5.0,150000.0,Twenties,0-5,High
976,29.0,Female,Master's Degree,Data Scientist,6.0,150000.0,Twenties,6-10,High
978,33.0,Female,Master's Degree,Product Manager,11.0,195000.0,Thirties,11-15,Very High
980,31.0,Female,Master's Degree,Data Scientist,6.0,170000.0,Thirties,6-10,Very High
985,32.0,Male,Bachelor's Degree,Software Engineer,8.0,180000.0,Thirties,6-10,Very High
990,34.0,Female,Master's Degree,Product Manager,12.0,190000.0,Thirties,11-15,Very High
999,25.0,Female,Bachelor's Degree,Data Analyst,2.0,100000.0,Twenties,0-5,Medium
1091,29.0,Male,Bachelor's Degree,Software Engineer,7.0,180000.0,Twenties,6-10,Very High
1092,27.0,Female,Bachelor's Degree,Data Analyst,5.0,120000.0,Twenties,0-5,High
1093,33.0,Male,Master's Degree,Data Scientist,10.0,195000.0,Thirties,6-10,Very High
1094,28.0,Male,Bachelor's Degree,Software Engineer,4.0,160000.0,Twenties,0-5,Very High
1095,26.0,Female,Bachelor's Degree,Data Analyst,3.0,100000.0,Twenties,0-5,Medium
1096,31.0,Male,Bachelor's Degree,Product Manager,8.0,190000.0,Thirties,6-10,Very High
1097,30.0,Male,Master's Degree,Software Engineer,6.0,170000.0,Twenties,6-10,Very High
1098,32.0,Female,Bachelor's Degree,Data Scientist,9.0,185000.0,Thirties,6-10,Very High
1099,29.0,Male,Bachelor's Degree,Data Analyst,7.0,130000.0,Twenties,6-10,High
1100,35.0,Female,Bachelor's Degree,Product Manager,12.0,190000.0,Thirties,11-15,Very High
1101,27.0,Male,Bachelor's Degree,Software Engineer,5.0,150000.0,Twenties,0-5,High
1102,28.0,Female,Master's Degree,Data Scientist,6.0,150000.0,Twenties,6-10,High
1103,37.0,Male,PhD,Product Manager,14.0,195000.0,Thirties,11-15,Very High
1104,26.0,Male,Bachelor's Degree,Data Analyst,3.0,110000.0,Twenties,0-5,High
1105,30.0,Female,Bachelor's Degree,Software Engineer,8.0,180000.0,Twenties,6-10,Very High
1106,31.0,Male,Master's Degree,Data Scientist,9.0,185000.0,Thirties,6-10,Very High
1107,29.0,Female,Bachelor's Degree,Data Analyst,7.0,130000.0,Twenties,6-10,High
1108,32.0,Male,Bachelor's Degree,Software Engineer,10.0,190000.0,Thirties,6-10,Very High
1109,28.0,Female,Master's Degree,Data Scientist,6.0,155000.0,Twenties,6-10,Very High
1110,34.0,Male,Bachelor's Degree,Software Engineer,12.0,195000.0,Thirties,11-15,Very High
1111,25.0,Female,Bachelor's Degree,Data Analyst,2.0,90000.0,Twenties,0-5,Medium
1112,30.0,Male,Bachelor's Degree,Product Manager,8.0,185000.0,Twenties,6-10,Very High
1113,29.0,Female,Bachelor's Degree,Data Analyst,6.0,120000.0,Twenties,6-10,High
1114,31.0,Male,Bachelor's Degree,Software Engineer,9.0,180000.0,Thirties,6-10,Very High
1118,27.0,Female,Bachelor's Degree,Data Analyst,5.0,125000.0,Twenties,0-5,High
1201,28.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,175000.0,Twenties,6-10,Very High
1202,44.0,Male,PhD,Software Engineer Manager,18.0,190000.0,Forties,16-20,Very High
1203,33.0,Female,Master's Degree,Back end Developer,5.0,110000.0,Thirties,0-5,High
1204,50.0,Male,PhD,Senior Project Engineer,16.0,195000.0,Forties,16-20,Very High
1205,27.0,Female,Master's Degree,Full Stack Engineer,3.0,100000.0,Twenties,0-5,Medium
1206,25.0,Male,Bachelor's Degree,Front end Developer,1.0,60000.0,Twenties,0-5,Medium
1207,35.0,Male,Master's Degree,Senior Software Engineer,8.0,155000.0,Thirties,6-10,Very High
1208,47.0,Female,PhD,Full Stack Engineer,12.0,175000.0,Forties,11-15,Very High
1209,46.0,Female,Master's Degree,Senior Project Engineer,13.0,180000.0,Forties,11-15,Very High
1210,32.0,Male,Bachelor's Degree,Back end Developer,4.0,95000.0,Thirties,0-5,Medium
1212,41.0,Male,Master's Degree,Senior Software Engineer,11.0,165000.0,Forties,11-15,Very High
1213,37.0,Male,Master's Degree,Senior Project Engineer,9.0,145000.0,Thirties,6-10,High
1214,53.0,Male,PhD,Software Engineer Manager,19.0,195000.0,Fifties,16-20,Very High
1215,30.0,Female,Bachelor's Degree,Front end Developer,2.0,75000.0,Twenties,0-5,Medium
1216,26.0,Female,Master's Degree,Back end Developer,3.0,90000.0,Twenties,0-5,Medium
1217,37.0,Female,Master's Degree,Senior Software Engineer,9.0,155000.0,Thirties,6-10,Very High
1218,32.0,Male,Bachelor's Degree,Full Stack Engineer,5.0,115000.0,Thirties,0-5,High
1219,44.0,Female,Master's Degree,Senior Software Engineer,12.0,170000.0,Forties,11-15,Very High
1220,50.0,Female,PhD,Software Engineer Manager,16.0,190000.0,Forties,16-20,Very High
1221,27.0,Male,Bachelor's Degree,Senior Project Engineer,4.0,115000.0,Twenties,0-5,High
1222,42.0,Male,PhD,Full Stack Engineer,14.0,180000.0,Forties,11-15,Very High
1223,57.0,Male,PhD,Software Engineer Manager,18.0,195000.0,Fifties,16-20,Very High
1224,35.0,Male,Master's Degree,Senior Software Engineer,7.0,140000.0,Thirties,6-10,High
1226,26.0,Female,Master's Degree,Back end Developer,2.0,70000.0,Twenties,0-5,Medium
1227,42.0,Female,Master's Degree,Senior Project Engineer,11.0,170000.0,Forties,11-15,Very High
1228,41.0,Female,PhD,Software Engineer Manager,14.0,185000.0,Forties,11-15,Very High
1229,36.0,Female,Master's Degree,Full Stack Engineer,8.0,140000.0,Thirties,6-10,High
1230,49.0,Male,PhD,Software Engineer Manager,15.0,185000.0,Forties,11-15,Very High
1231,49.0,Male,PhD,Senior Project Engineer,15.0,185000.0,Forties,11-15,Very High
1232,47.0,Male,PhD,Software Engineer Manager,15.0,180000.0,Forties,11-15,Very High
1233,47.0,Male,PhD,Senior Software Engineer,14.0,175000.0,Forties,11-15,Very High
1234,26.0,Male,Bachelor's Degree,Front end Developer,2.0,70000.0,Twenties,0-5,Medium
1235,24.0,Female,Bachelor's Degree,Back end Developer,1.0,60000.0,Twenties,0-5,Medium
1237,42.0,Male,PhD,Senior Software Engineer,14.0,170000.0,Forties,11-15,Very High
1238,41.0,Female,Master's Degree,Senior Project Engineer,11.0,165000.0,Forties,11-15,Very High
1239,23.0,Male,Bachelor's Degree,Full Stack Engineer,1.0,55000.0,Twenties,0-5,Medium
1240,55.0,Male,PhD,Software Engineer Manager,17.0,190000.0,Fifties,16-20,Very High
1242,33.0,Female,Bachelor's Degree,Front end Developer,5.0,105000.0,Thirties,0-5,High
1243,31.0,Male,Master's Degree,Full Stack Engineer,6.0,130000.0,Thirties,6-10,High
1244,50.0,Female,PhD,Software Engineer Manager,16.0,185000.0,Forties,16-20,Very High
1245,24.0,Female,Master's Degree,Back end Developer,1.0,60000.0,Twenties,0-5,Medium
1246,56.0,Male,PhD,Software Engineer Manager,17.0,195000.0,Fifties,16-20,Very High
1247,24.0,Male,Bachelor's Degree,Front end Developer,1.0,60000.0,Twenties,0-5,Medium
1248,37.0,Male,Master's Degree,Senior Software Engineer,8.0,150000.0,Thirties,6-10,High
1249,43.0,Female,PhD,Senior Project Engineer,13.0,180000.0,Forties,11-15,Very High
1251,34.0,Male,Master's Degree,Back end Developer,6.0,125000.0,Thirties,6-10,High
1252,45.0,Male,PhD,Software Engineer Manager,15.0,185000.0,Forties,11-15,Very High
1253,29.0,Male,Bachelor's Degree,Full Stack Engineer,3.0,90000.0,Twenties,0-5,Medium
1254,29.0,Male,Bachelor's Degree,Front end Developer,3.0,80000.0,Twenties,0-5,Medium
1255,29.0,Female,Bachelor's Degree,Back end Developer,3.0,85000.0,Twenties,0-5,Medium
1256,48.0,Male,PhD,Senior Project Engineer,16.0,190000.0,Forties,16-20,Very High
1257,43.0,Female,Master's Degree,Software Engineer Manager,11.0,160000.0,Forties,11-15,Very High
1259,54.0,Male,PhD,Software Engineer Manager,17.0,195000.0,Fifties,16-20,Very High
1261,54.0,Female,PhD,Software Engineer Manager,14.0,190000.0,Fifties,11-15,Very High
1262,27.0,Female,Master's Degree,Full Stack Engineer,3.0,95000.0,Twenties,0-5,Medium
1263,23.0,Male,Bachelor's Degree,Back end Developer,1.0,55000.0,Twenties,0-5,Medium
1264,45.0,Male,PhD,Senior Software Engineer,13.0,185000.0,Forties,11-15,Very High
1265,32.0,Female,Master's Degree,Full Stack Engineer,5.0,120000.0,Thirties,0-5,High
1266,57.0,Male,PhD,Software Engineer Manager,16.0,195000.0,Fifties,16-20,Very High
1267,47.0,Male,PhD,Software Engineer Manager,14.0,175000.0,Forties,11-15,Very High
1268,25.0,Female,Master's Degree,Back end Developer,2.0,75000.0,Twenties,0-5,Medium
1269,58.0,Male,PhD,Software Engineer Manager,17.0,200000.0,Fifties,16-20,Very High
1270,41.0,Female,Master's Degree,Senior Software Engineer,12.0,160000.0,Forties,11-15,Very High
1271,41.0,Male,PhD,Software Engineer Manager,12.0,175000.0,Forties,11-15,Very High
1273,47.0,Male,PhD,Senior Software Engineer,15.0,180000.0,Forties,11-15,Very High
1276,32.0,Male,Bachelor's Degree,Full Stack Engineer,5.0,120000.0,Thirties,0-5,High
1278,45.0,Male,PhD,Senior Project Engineer,14.0,185000.0,Forties,11-15,Very High
1280,53.0,Male,PhD,Software Engineer Manager,18.0,195000.0,Fifties,16-20,Very High
1281,47.0,Female,PhD,Senior Software Engineer,14.0,170000.0,Forties,11-15,Very High
1282,23.0,Male,Bachelor's Degree,Front end Developer,1.0,55000.0,Twenties,0-5,Medium
1283,33.0,Male,Master's Degree,Back end Developer,6.0,130000.0,Thirties,6-10,High
1284,42.0,Male,PhD,Software Engineer Manager,14.0,180000.0,Forties,11-15,Very High
1287,37.0,Male,Master's Degree,Senior Software Engineer,9.0,145000.0,Thirties,6-10,High
1288,44.0,Female,Master's Degree,Senior Project Engineer,12.0,170000.0,Forties,11-15,Very High
1290,38.0,Female,Master's Degree,Back end Developer,10.0,155000.0,Thirties,6-10,Very High
1291,34.0,Male,Master's Degree,Full Stack Engineer,6.0,125000.0,Thirties,6-10,High
1292,46.0,Female,PhD,Software Engineer Manager,14.0,180000.0,Forties,11-15,Very High
1293,30.0,Male,Bachelor's Degree,Back end Developer,4.0,95000.0,Twenties,0-5,Medium
1294,44.0,Female,Master's Degree,Senior Software Engineer,11.0,170000.0,Forties,11-15,Very High
1296,42.0,Male,PhD,Senior Project Engineer,14.0,175000.0,Forties,11-15,Very High
1297,27.0,Male,Bachelor's Degree,Front end Developer,3.0,80000.0,Twenties,0-5,Medium
1298,54.0,Male,PhD,Software Engineer Manager,18.0,195000.0,Fifties,16-20,Very High
1299,38.0,Male,Master's Degree,Senior Software Engineer,10.0,155000.0,Thirties,6-10,Very High
1300,31.0,Male,Master's Degree,Senior Project Engineer,6.0,125000.0,Thirties,6-10,High
1301,28.0,Female,Master's Degree,Full Stack Engineer,4.0,110000.0,Twenties,0-5,High
1302,30.0,Female,Master's Degree,Back end Developer,6.0,130000.0,Twenties,6-10,High
1303,54.0,Male,PhD,Software Engineer Manager,16.0,190000.0,Fifties,16-20,Very High
1306,37.0,Male,Master's Degree,Senior Software Engineer,9.0,150000.0,Thirties,6-10,High
1307,31.0,Male,Master's Degree,Senior Software Engineer,7.0,140000.0,Thirties,6-10,High
1308,58.0,Female,PhD,Software Engineer Manager,17.0,195000.0,Fifties,16-20,Very High
1310,23.0,Female,Bachelor's Degree,Back end Developer,1.0,55000.0,Twenties,0-5,Medium
1313,52.0,Female,PhD,Software Engineer Manager,16.0,190000.0,Fifties,16-20,Very High
1314,32.0,Female,Master's Degree,Full Stack Engineer,6.0,130000.0,Thirties,6-10,High
1316,32.0,Male,Master's Degree,Back end Developer,6.0,130000.0,Thirties,6-10,High
1317,34.0,Male,Master's Degree,Full Stack Engineer,7.0,140000.0,Thirties,6-10,High
1318,28.0,Male,Bachelor's Degree,Front end Developer,2.0,70000.0,Twenties,0-5,Medium
1319,44.0,Male,Master's Degree,Senior Project Engineer,11.0,170000.0,Forties,11-15,Very High
1322,46.0,Male,PhD,Software Engineer Manager,14.0,180000.0,Forties,11-15,Very High
1323,27.0,Female,Master's Degree,Back end Developer,2.0,70000.0,Twenties,0-5,Medium
1325,23.0,Female,Bachelor's Degree,Front end Developer,1.0,55000.0,Twenties,0-5,Medium
1329,43.0,Male,PhD,Software Engineer Manager,13.0,180000.0,Forties,11-15,Very High
1331,28.0,Female,Bachelor's Degree,Front end Developer,2.0,70000.0,Twenties,0-5,Medium
1332,43.0,Male,Master's Degree,Senior Project Engineer,12.0,165000.0,Forties,11-15,Very High
1333,43.0,Male,PhD,Senior Project Engineer,13.0,185000.0,Forties,11-15,Very High
1334,36.0,Male,Master's Degree,Senior Software Engineer,7.0,140000.0,Thirties,6-10,High
1336,28.0,Female,Bachelor's Degree,Front end Developer,3.0,80000.0,Twenties,0-5,Medium
1340,28.0,Female,Master's Degree,Back end Developer,3.0,90000.0,Twenties,0-5,Medium
1341,43.0,Male,PhD,Senior Software Engineer,12.0,170000.0,Forties,11-15,Very High
1346,44.0,Male,PhD,Senior Project Engineer,12.0,170000.0,Forties,11-15,Very High
1348,37.0,Male,Master's Degree,Senior Software Engineer,10.0,155000.0,Thirties,6-10,Very High
1350,56.0,Male,PhD,Software Engineer Manager,18.0,195000.0,Fifties,16-20,Very High
1352,27.0,Male,Bachelor's Degree,Front end Developer,2.0,70000.0,Twenties,0-5,Medium
1354,31.0,Male,Master's Degree,Full Stack Engineer,7.0,140000.0,Thirties,6-10,High
1356,50.0,Male,PhD,Software Engineer Manager,16.0,190000.0,Forties,16-20,Very High
1358,33.0,Male,Master's Degree,Full Stack Engineer,6.0,130000.0,Thirties,6-10,High
1360,41.0,Male,PhD,Senior Project Engineer,12.0,165000.0,Forties,11-15,Very High
1387,24.0,Female,Bachelor's Degree,Front end Developer,1.0,55000.0,Twenties,0-5,Medium
1400,43.0,Male,PhD,Senior Project Engineer,12.0,165000.0,Forties,11-15,Very High
1405,58.0,Male,PhD,Software Engineer Manager,17.0,195000.0,Fifties,16-20,Very High
1407,29.0,Female,Bachelor's Degree,Front end Developer,3.0,85000.0,Twenties,0-5,Medium
1408,52.0,Male,PhD,Software Engineer Manager,18.0,200000.0,Fifties,16-20,Very High
1409,36.0,Male,Master's Degree,Full Stack Engineer,8.0,140000.0,Thirties,6-10,High
1410,26.0,Male,Bachelor's Degree,Back end Developer,2.0,65000.0,Twenties,0-5,Medium
1411,47.0,Male,PhD,Senior Project Engineer,16.0,190000.0,Forties,16-20,Very High
1412,32.0,Male,Master's Degree,Full Stack Engineer,6.0,120000.0,Thirties,6-10,High
1416,57.0,Male,PhD,Software Engineer Manager,18.0,200000.0,Fifties,16-20,Very High
1417,51.0,Male,PhD,Software Engineer Manager,16.0,190000.0,Fifties,16-20,Very High
1420,27.0,Female,Master's Degree,Back end Developer,2.0,65000.0,Twenties,0-5,Medium
1423,36.0,Male,Master's Degree,Full Stack Engineer,7.0,130000.0,Thirties,6-10,High
1425,33.0,Female,Master's Degree,Full Stack Engineer,5.0,120000.0,Thirties,0-5,High
1438,25.0,Male,Bachelor's Degree,Front end Developer,1.0,55000.0,Twenties,0-5,Medium
1479,40.0,Male,PhD,Senior Software Engineer,12.0,160000.0,Thirties,11-15,Very High
1480,36.0,Male,Master's Degree,Senior Software Engineer,8.0,140000.0,Thirties,6-10,High
1492,31.0,Male,Master's Degree,Senior Project Engineer,7.0,135000.0,Thirties,6-10,High
1493,24.0,Male,Bachelor's Degree,Back end Developer,1.0,55000.0,Twenties,0-5,Medium
1528,34.0,Male,Bachelor's Degree,Front end Developer,5.0,95000.0,Thirties,0-5,Medium
1529,43.0,Female,Master's Degree,Senior Software Engineer,12.0,170000.0,Forties,11-15,Very High
1530,27.0,Male,Bachelor's Degree,Back end Developer,2.0,75000.0,Twenties,0-5,Medium
1531,56.0,Female,PhD,Software Engineer Manager,18.0,210000.0,Fifties,16-20,Top Tier
